"Key";"Type";"Desc";"English";"Українська [uk]"
"Story/RadioTower/PostIt";"Text";"";"People?";"Люди?"
"Story/RadioTower/Voiceline/Note1_1";"Text";"";"DECEMBER 12th: We stopped for the night. Owl climbed the tower. Radio still works apparently.";"DECEMBER 12th: We stopped for the night. Owl climbed the tower. Radio still works apparently."
"Story/RadioTower/Voiceline/Note1_2";"Text";"";"Should be two weeks before we reach Selene, but the team’s not responding.";"Should be two weeks before we reach Selene, but the team’s not responding."
"Story/RadioTower/Voiceline/Note1_3";"Text";"";"You might say things are a bit tense. The other facilities are under water.";"You might say things are a bit tense. The other facilities are under water."
"Story/RadioTower/Voiceline/Note1_4";"Text";"";"So… If Selene is lost, we’ve got nothing. And now Sparrow’s not talking to either of us.";"So… If Selene is lost, we’ve got nothing. And now Sparrow’s not talking to either of us."
"Story/RadioTower/Voiceline/Note1_5";"Text";"";"I really hope we’re not the last hope for humanity.";"I really hope we’re not the last hope for humanity."
"Story/RadioTower/Voiceline/Note2_1";"Text";"";"JANUARY: It’s been weeks. Just me and Owl here now, stuck on this platform.";"JANUARY: It’s been weeks. Just me and Owl here now, stuck on this platform."
"Story/RadioTower/Voiceline/Note2_2";"Text";"";"Sparrow took the boat. I can’t figure out why... Everything is just so secretive. ";"Sparrow took the boat. I can’t figure out why... Everything is just so secretive. "
"Story/RadioTower/Voiceline/Note2_3";"Text";"";"I mean, I don’t even know their real names! ";"I mean, I don’t even know their real names! "
"Story/RadioTower/Voiceline/Note2_4";"Text";"";"I only know the team at Selene got a prototype working and they needed more people. ";"I only know the team at Selene got a prototype working and they needed more people. "
"Story/RadioTower/Voiceline/Note2_5";"Text";"";"WE were supposed to be those people and Together we would find a way out of this mess. Somehow.";"WE were supposed to be those people and Together we would find a way out of this mess. Somehow."
"Story/RadioTower/Voiceline/Note2_6";"Text";"";"Owl’s yelling up in the tower. Maybe the radio picked up something? Is it you, Sparrow?
";"Owl’s yelling up in the tower. Maybe the radio picked up something? Is it you, Sparrow?
"
"Story/RadioTower/Voiceline/Note3_1";"Text";"";"Errm… FEBRUARY(?) We’ve picked up a lot of signals. Maybe someone will come and help us. ";"Errm… FEBRUARY(?) We’ve picked up a lot of signals. Maybe someone will come and help us. "
"Story/RadioTower/Voiceline/Note3_2";"Text";"";"We’re not starving... yet.";"We’re not starving... yet."
"Story/RadioTower/Voiceline/Note3_3";"Text";"";"The reactor at Selene might be the only chance we have against this endless ocean.";"The reactor at Selene might be the only chance we have against this endless ocean."
"Story/RadioTower/Voiceline/Note3_4";"Text";"";" You knew it, Sparrow. Owl thinks you betrayed us. ";" You knew it, Sparrow. Owl thinks you betrayed us. "
"Story/RadioTower/Voiceline/Note3_5";"Text";"";"But you must have had a good reason for leaving us here.";"But you must have had a good reason for leaving us here."
"Story/RadioTower/Voiceline/Note3_6";"Text";"";"I hope you make it to Selene. I hope you finish the reactor. For all of us.";"I hope you make it to Selene. I hope you finish the reactor. For all of us."
"Story/RadioTower/Voiceline/Note4_1";"Text";"";"OWL’S RADIO NOTES:";"OWL’S RADIO NOTES:"
"Story/RadioTower/Voiceline/Note4_2";"Text";"";"22 Dec ~Distress call received. Balboa Island.";"22 Dec ~Distress call received. Balboa Island."
"Story/RadioTower/Voiceline/Note4_3";"Text";"";"9 Jan ~Cuckoo won’t accept facts.";"9 Jan ~Cuckoo won’t accept facts."
"Story/RadioTower/Voiceline/Note4_4";"Text";"";"2 Feb ~Gunshots in the distance. Tangaroa City?";"2 Feb ~Gunshots in the distance. Tangaroa City?"
"Story/RadioTower/Voiceline/Note4_5";"Text";"";"14 Feb ~Sparrow’s comm. At Selene?";"14 Feb ~Sparrow’s comm. At Selene?"
"Story/RadioTower/Voiceline/Note4_6";"Text";"";"6 Mar ~Another distress call. Varuna Point. Missing child?";"6 Mar ~Another distress call. Varuna Point. Missing child?"
"Story/RadioTower/Voiceline/Note4_7";"Text";"";"16 Apr ~Rafters dreaming of UTOPIA. Foolish hope.";"16 Apr ~Rafters dreaming of UTOPIA. Foolish hope."
"Story/Tangaroa/GardenerDiary";"Text";"";"Oh no, no, no. The entire ecosystem is ruined! 

I’ve WARNED Captain Tulley about this for weeks now. My contract doesn’t allow me to tell anyone else and it’s eating me up inside. The banana plants won’t bear nearly enough fruit. Not to mention the infestations…

We’ll be starving by the end of the year. If not sooner!
~With Love, Johan the Gardener";"Oh no, no, no. The entire ecosystem is ruined! 

I’ve WARNED Captain Tulley about this for weeks now. My contract doesn’t allow me to tell anyone else and it’s eating me up inside. The banana plants won’t bear nearly enough fruit. Not to mention the infestations…

We’ll be starving by the end of the year. If not sooner!
~With Love, Johan the Gardener"
"Story/Tangaroa/RiotLog";"Text";"";"(Transcribed)
(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”
(Captain Tulley) - *Muffled response.*
(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”
(Captain Tulley) - *Muffled order.*
(Security) - ”Yes, sir. No, sir.” 
(Radio static is turned off as the security officer's voice shakes.)
(Security) - ”Tulley says shoot to wound..?”";"(Transcribed)
(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”
(Captain Tulley) - *Muffled response.*
(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”
(Captain Tulley) - *Muffled order.*
(Security) - ”Yes, sir. No, sir.” 
(Radio static is turned off as the security officer's voice shakes.)
(Security) - ”Tulley says shoot to wound..?”"
"Story/Tangaroa/Ruben1";"Text";"";"Captain Tulley ordered us to push the engines to their limits. We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor. I sent a message up the tower. Tulley doesn’t care.

I hope you’re faring better, Hanne. Much better.
~Ruben";"Captain Tulley ordered us to push the engines to their limits. We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor. I sent a message up the tower. Tulley doesn’t care.

I hope you’re faring better, Hanne. Much better.
~Ruben"
"Story/Tangaroa/Ruben2";"Text";"";"The engines are done. People upstairs are already upset over the extreme rationing. Now we’re at the mercy of the waves.

And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. I don’t care what Captain Tulley says.

I really could’ve used you here, Hanne.
~Ruben";"The engines are done. People upstairs are already upset over the extreme rationing. Now we’re at the mercy of the waves.

And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. I don’t care what Captain Tulley says.

I really could’ve used you here, Hanne.
~Ruben"
"Story/Tangaroa/Ruben3";"Text";"";"There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out. Some supported Tulley’s orders. Others really did not.

A smaller raft made its way into the water entrance. But there was only a kid onboard. His parents were sick, I think. Poor boy isn’t saying much. 

Tangaroa’s a lost cause. We’re getting out of here.
~Ruben";"There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out. Some supported Tulley’s orders. Others really did not.

A smaller raft made its way into the water entrance. But there was only a kid onboard. His parents were sick, I think. Poor boy isn’t saying much. 

Tangaroa’s a lost cause. We’re getting out of here.
~Ruben"
"Story/Tangaroa/Ruben4";"Text";"";"Things have gone quiet. Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! It’s like some kind of dumb guerilla war upstairs.

We’re fixing up a boat, but there’s no engine. The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.

Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.
~Ruben";"Things have gone quiet. Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! It’s like some kind of dumb guerilla war upstairs.

We’re fixing up a boat, but there’s no engine. The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.

Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.
~Ruben"
"Story/Tangaroa/Ruben5";"Text";"";"The kid’s name is Detto. How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.

We’ll be gathering up a few more survivors before we head off. The rafters either hid up in the apartments or left to sea. Most of them seemed sick. No wonder they were so desperate. 

We need to hurry. Those large rats that came with the rafters are aggressive. I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. Remember the place we heard about? The sanctuary? We’ll meet there. I know it.

I’ll see you there. Utopia.
~Ruben";"The kid’s name is Detto. How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.

We’ll be gathering up a few more survivors before we head off. The rafters either hid up in the apartments or left to sea. Most of them seemed sick. No wonder they were so desperate. 

We need to hurry. Those large rats that came with the rafters are aggressive. I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. Remember the place we heard about? The sanctuary? We’ll meet there. I know it.

I’ll see you there. Utopia.
~Ruben"
"Story/Tangaroa/TulleyNote";"Text";"";"My name is James Tulley. This is my final message. Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. But we were never sustainable. I should have accepted that months ago.

When the rafters arrived I could have let them starve with us. But I didn't. The only right choice was to abandon Tangaroa to the waves.

Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world. Don’t worry. We’ll pay for our sins before the end.
~Captain Tulley";"My name is James Tulley. This is my final message. Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. But we were never sustainable. I should have accepted that months ago.

When the rafters arrived I could have let them starve with us. But I didn't. The only right choice was to abandon Tangaroa to the waves.

Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world. Don’t worry. We’ll pay for our sins before the end.
~Captain Tulley"
"Story/Tangaroa/Voiceline/GardenerDiary_1";"Text";"";"Oh no, no, no. The entire ecosystem is ruined! ";"Oh no, no, no. The entire ecosystem is ruined! "
"Story/Tangaroa/Voiceline/GardenerDiary_2";"Text";"";"I’ve WARNED Captain Tulley about this for weeks now.";"I’ve WARNED Captain Tulley about this for weeks now."
"Story/Tangaroa/Voiceline/GardenerDiary_3";"Text";"";"My contract doesn’t allow me to tell anyone else and it’s eating me up inside.";"My contract doesn’t allow me to tell anyone else and it’s eating me up inside."
"Story/Tangaroa/Voiceline/GardenerDiary_4";"Text";"";"The banana plants won’t bear nearly enough fruit. Not to mention the infestations…";"The banana plants won’t bear nearly enough fruit. Not to mention the infestations…"
"Story/Tangaroa/Voiceline/GardenerDiary_5";"Text";"";"We’ll be starving by the end of the year. If not sooner!";"We’ll be starving by the end of the year. If not sooner!"
"Story/Tangaroa/Voiceline/RiotLog_1";"Text";"";"(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”";"(Security) - “No sir, they haven’t done anything hostile. Yes, they’re still just chanting.”"
"Story/Tangaroa/Voiceline/RiotLog_2";"Text";"";"(Captain Tulley) - *Muffled response.*";"(Captain Tulley) - *Muffled response.*"
"Story/Tangaroa/Voiceline/RiotLog_3";"Text";"";"(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”";"(Security) - ”Yes sir, I am armed. But if I may speak freely, we are able to use the water cannons if-”"
"Story/Tangaroa/Voiceline/RiotLog_4";"Text";"";"(Captain Tulley) - *Muffled order.*";"(Captain Tulley) - *Muffled order.*"
"Story/Tangaroa/Voiceline/RiotLog_5";"Text";"";"(Security) - ”Yes, sir. No, sir.” ";"(Security) - ”Yes, sir. No, sir.” "
"Story/Tangaroa/Voiceline/RiotLog_6";"Text";"";"(Security) - ”Tulley says shoot to wound..?”";"(Security) - ”Tulley says shoot to wound..?”"
"Story/Tangaroa/Voiceline/Ruben1_1";"Text";"";"Captain Tulley ordered us to push the engines to their limits.";"Captain Tulley ordered us to push the engines to their limits."
"Story/Tangaroa/Voiceline/Ruben1_2";"Text";"";"We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor.";"We’re trying to outrun a fleet of rafts, or something. It’s going to overheat the reactor."
"Story/Tangaroa/Voiceline/Ruben1_3";"Text";"";"I sent a message up the tower. Tulley doesn’t care.";"I sent a message up the tower. Tulley doesn’t care."
"Story/Tangaroa/Voiceline/Ruben1_4";"Text";"";"I hope you’re faring better, Hanne. Much better.";"I hope you’re faring better, Hanne. Much better."
"Story/Tangaroa/Voiceline/Ruben2_1";"Text";"";"The engines are done. People upstairs are already upset over the extreme rationing.";"The engines are done. People upstairs are already upset over the extreme rationing."
"Story/Tangaroa/Voiceline/Ruben2_2";"Text";"";"Now we’re at the mercy of the waves.";"Now we’re at the mercy of the waves."
"Story/Tangaroa/Voiceline/Ruben2_3";"Text";"";"And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. ";"And those rafts on the horizon are coming closer by the hour. I’m sealing up the reactor now. "
"Story/Tangaroa/Voiceline/Ruben2_4";"Text";"";"I don’t care what Captain Tulley says. I really could’ve used you here, Hanne.";"I don’t care what Captain Tulley says. I really could’ve used you here, Hanne."
"Story/Tangaroa/Voiceline/Ruben3_1";"Text";"";"There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out.";"There’s screaming upstairs. After the Captain opened fire on the rafters, a damn riot broke out."
"Story/Tangaroa/Voiceline/Ruben3_2";"Text";"";"Some supported Tulley’s orders. Others really did not.";"Some supported Tulley’s orders. Others really did not."
"Story/Tangaroa/Voiceline/Ruben3_3";"Text";"";"A smaller raft made its way into the water entrance. But there was only a kid onboard.";"A smaller raft made its way into the water entrance. But there was only a kid onboard."
"Story/Tangaroa/Voiceline/Ruben3_4";"Text";"";"His parents were sick, I think. Poor boy isn’t saying much. ";"His parents were sick, I think. Poor boy isn’t saying much. "
"Story/Tangaroa/Voiceline/Ruben3_5";"Text";"";"Tangaroa’s a lost cause. We’re getting out of here.";"Tangaroa’s a lost cause. We’re getting out of here."
"Story/Tangaroa/Voiceline/Ruben4_1";"Text";"";"Things have gone quiet.";"Things have gone quiet."
"Story/Tangaroa/Voiceline/Ruben4_2";"Text";"";"Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. ";"Security teams still go on patrols in their ridiculous golf carts trying to keep some semblance of order. "
"Story/Tangaroa/Voiceline/Ruben4_3";"Text";"";"I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! ";"I heard the rafters let loose some type of rat. Oh, and they strapped tasers on all the butler bots! "
"Story/Tangaroa/Voiceline/Ruben4_4";"Text";"";"It’s like some kind of dumb guerilla war upstairs.";"It’s like some kind of dumb guerilla war upstairs."
"Story/Tangaroa/Voiceline/Ruben4_5";"Text";"";"We’re fixing up a boat, but there’s no engine.";"We’re fixing up a boat, but there’s no engine."
"Story/Tangaroa/Voiceline/Ruben4_6";"Text";"";"The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea.";"The raft-kid thinks we could take one of the golf cart engines. It’s not a bad idea."
"Story/Tangaroa/Voiceline/Ruben4_7";"Text";"";"Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.";"Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot."
"Story/Tangaroa/Voiceline/Ruben4_8";"Text";"";"Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot.";"Captain Tulley and the ‘investors’ are still up in the tower. I say leave them there to rot."
"Story/Tangaroa/Voiceline/Ruben5_1";"Text";"";"The kid’s name is Detto.";"The kid’s name is Detto."
"Story/Tangaroa/Voiceline/Ruben5_2";"Text";"";"How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working.";"How someone his age was able to reconstruct an engine like that I’ll never know, but now we’ve got the boat working."
"Story/Tangaroa/Voiceline/Ruben5_3";"Text";"";"We’ll be gathering up a few more survivors before we head off.";"We’ll be gathering up a few more survivors before we head off."
"Story/Tangaroa/Voiceline/Ruben5_4";"Text";"";"The rafters either hid up in the apartments or left to sea. Most of them seemed sick. ";"The rafters either hid up in the apartments or left to sea. Most of them seemed sick. "
"Story/Tangaroa/Voiceline/Ruben5_5";"Text";"";"No wonder they were so desperate. We need to hurry. ";"No wonder they were so desperate. We need to hurry. "
"Story/Tangaroa/Voiceline/Ruben5_6";"Text";"";"Those large rats that came with the rafters are aggressive.";"Those large rats that came with the rafters are aggressive."
"Story/Tangaroa/Voiceline/Ruben5_7";"Text";"";"I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. ";"I say let them chew Tangaroa into pieces. I’m coming for you, Hanne. "
"Story/Tangaroa/Voiceline/Ruben5_8";"Text";"";"Remember the place we heard about? The sanctuary? We’ll meet there. I know it.";"Remember the place we heard about? The sanctuary? We’ll meet there. I know it."
"Story/Tangaroa/Voiceline/Ruben5_9";"Text";"";"I’ll see you there. Utopia.";"I’ll see you there. Utopia."
"Story/Tangaroa/Voiceline/TulleyNote_1";"Text";"";"My name is James Tulley. This is my final message.";"My name is James Tulley. This is my final message."
"Story/Tangaroa/Voiceline/TulleyNote_2";"Text";"";"Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. ";"Tangaroa City was built on a purely theoretical basis, using engines that had barely been tested, held together by the sweat and tears of our crew. "
"Story/Tangaroa/Voiceline/TulleyNote_3";"Text";"";"But we were never sustainable. I should have accepted that months ago.";"But we were never sustainable. I should have accepted that months ago."
"Story/Tangaroa/Voiceline/TulleyNote_4";"Text";"";"When the rafters arrived I could have let them starve with us. But I didn't.";"When the rafters arrived I could have let them starve with us. But I didn't."
"Story/Tangaroa/Voiceline/TulleyNote_5";"Text";"";"The only right choice was to abandon Tangaroa to the waves.";"The only right choice was to abandon Tangaroa to the waves."
"Story/Tangaroa/Voiceline/TulleyNote_6";"Text";"";"Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world.";"Now I will stay here, trapped in the cockpit with two dozen idiots who used to run the world."
"Story/Tangaroa/Voiceline/TulleyNote_7";"Text";"";"Don’t worry. We’ll pay for our sins before the end.";"Don’t worry. We’ll pay for our sins before the end."
"Story/Temperance/Bruno1";"Text";"";"I’ve already lost MIRANDA. I will not lose you too, HENRY.

The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. 

HENRY is skeptical. He thinks the cold will be dangerous. I'm more scared of whatever’s out there in the snowstorm…
~Bruno";"I’ve already lost MIRANDA. I will not lose you too, HENRY.

The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. 

HENRY is skeptical. He thinks the cold will be dangerous. I'm more scared of whatever’s out there in the snowstorm…
~Bruno"
"Story/Temperance/Bruno2";"Text";"";"There’s bears all over this frozen island!

One of them completely wrecked the boat when we tried to get away. None of the usual tricks worked either. HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. His name is Detto. Says he came here with some survivors.

I asked HENRY if I should trust the boy. But I didn’t get an answer.
~Bruno";"There’s bears all over this frozen island!

One of them completely wrecked the boat when we tried to get away. None of the usual tricks worked either. HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. His name is Detto. Says he came here with some survivors.

I asked HENRY if I should trust the boy. But I didn’t get an answer.
~Bruno"
"Story/Temperance/Bruno3";"Text";"";"Detto showed me and HENRY some abandoned igloos. The boy got them open by fiddling with some cables? The big igloo is still shut though. I wonder what’s inside…

Detto introduced me to a man named Ruben. He was hurt. Looked like wounds from a bear attack, so I helped fix up the wounds. Astrid used to fix up my wounds the same way.

Where are you, sis?
~Bruno";"Detto showed me and HENRY some abandoned igloos. The boy got them open by fiddling with some cables? The big igloo is still shut though. I wonder what’s inside…

Detto introduced me to a man named Ruben. He was hurt. Looked like wounds from a bear attack, so I helped fix up the wounds. Astrid used to fix up my wounds the same way.

Where are you, sis?
~Bruno"
"Story/Temperance/Bruno4";"Text";"";"That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat. Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot. Both of them stare whenever I talk to HENRY…?

HENRY doesn’t like the way they look at us. I think I need to do something.
~Bruno";"That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat. Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot. Both of them stare whenever I talk to HENRY…?

HENRY doesn’t like the way they look at us. I think I need to do something.
~Bruno"
"Story/Temperance/Bruno5";"Text";"";"The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.

HENRY is staying behind. It’s bittersweet. He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. Detto says there’s a place with lots of people. Ruben says Astrid might be there. She definitely isn’t here, in this cold place.

It’s nice talking to people.
~Bruno";"The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.

HENRY is staying behind. It’s bittersweet. He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. Detto says there’s a place with lots of people. Ruben says Astrid might be there. She definitely isn’t here, in this cold place.

It’s nice talking to people.
~Bruno"
"Story/Temperance/Sparrow1";"Text";"";"I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.

I was sent to Selene alongside two colleagues. One of which I discovered was a mole by the ‘investors’. Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.

The other colleague… I left behind. I did not trust you, Cuckoo. I couldn’t. It was too much of a risk. I hope you will forgive me.
~Sparrow";"I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.

I was sent to Selene alongside two colleagues. One of which I discovered was a mole by the ‘investors’. Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.

The other colleague… I left behind. I did not trust you, Cuckoo. I couldn’t. It was too much of a risk. I hope you will forgive me.
~Sparrow"
"Story/Temperance/Sparrow2";"Text";"";"The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities. No easy task. But it has been done. In theory. Yet we do not have the people to construct anything but a basic prototype. It can be built for real, I know it! We just need more people.

There’s a place where the rafters live in peace with any survivors of the old world. They call it Utopia. Maybe there we can begin to reverse the damage we’ve done. But we received a message from them yesterday. One of the ‘investors’ has taken control of the community. Olof Wilkstrom. I fear his intentions with this potential Utopia.
~Sparrow";"The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities. No easy task. But it has been done. In theory. Yet we do not have the people to construct anything but a basic prototype. It can be built for real, I know it! We just need more people.

There’s a place where the rafters live in peace with any survivors of the old world. They call it Utopia. Maybe there we can begin to reverse the damage we’ve done. But we received a message from them yesterday. One of the ‘investors’ has taken control of the community. Olof Wilkstrom. I fear his intentions with this potential Utopia.
~Sparrow"
"Story/Temperance/Voiceline/Bruno1_1";"Text";"";"I’ve already lost MIRANDA. I will not lose you too, HENRY.";"I’ve already lost MIRANDA. I will not lose you too, HENRY."
"Story/Temperance/Voiceline/Bruno1_2";"Text";"";"The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. ";"The two of us have followed a signal far south. I know it's from my sister. There’s no doubt. "
"Story/Temperance/Voiceline/Bruno1_3";"Text";"";"HENRY is skeptical. He thinks the cold will be dangerous.";"HENRY is skeptical. He thinks the cold will be dangerous."
"Story/Temperance/Voiceline/Bruno1_4";"Text";"";"I'm more scared of whatever’s out there in the snowstorm…";"I'm more scared of whatever’s out there in the snowstorm…"
"Story/Temperance/Voiceline/Bruno2_1";"Text";"";"There’s bears all over this frozen island!";"There’s bears all over this frozen island!"
"Story/Temperance/Voiceline/Bruno2_2";"Text";"";"One of them completely wrecked the boat when we tried to get away. ";"One of them completely wrecked the boat when we tried to get away. "
"Story/Temperance/Voiceline/Bruno2_3";"Text";"";"None of the usual tricks worked either. ";"None of the usual tricks worked either. "
"Story/Temperance/Voiceline/Bruno2_4";"Text";"";"HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. ";"HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. "
"Story/Temperance/Voiceline/Bruno2_5";"Text";"";"His name is Detto. Says he came here with some survivors.";"His name is Detto. Says he came here with some survivors."
"Story/Temperance/Voiceline/Bruno2_6";"Text";"";"I asked HENRY if I should trust the boy. But I didn’t get an answer.";"I asked HENRY if I should trust the boy. But I didn’t get an answer."
"Story/Temperance/Voiceline/Bruno3_1";"Text";"";"Detto showed me and HENRY some abandoned igloos.";"Detto showed me and HENRY some abandoned igloos."
"Story/Temperance/Voiceline/Bruno3_2";"Text";"";"The boy got them open by fiddling with some cables? The big igloo is still shut though.";"The boy got them open by fiddling with some cables? The big igloo is still shut though."
"Story/Temperance/Voiceline/Bruno3_3";"Text";"";"I wonder what’s inside…";"I wonder what’s inside…"
"Story/Temperance/Voiceline/Bruno3_4";"Text";"";"Detto introduced me to a man named Ruben. He was hurt.";"Detto introduced me to a man named Ruben. He was hurt."
"Story/Temperance/Voiceline/Bruno3_5";"Text";"";"Looked like wounds from a bear attack, so I helped fix up the wounds.";"Looked like wounds from a bear attack, so I helped fix up the wounds."
"Story/Temperance/Voiceline/Bruno3_6";"Text";"";"Astrid used to fix up my wounds the same way. Where are you, sis?";"Astrid used to fix up my wounds the same way. Where are you, sis?"
"Story/Temperance/Voiceline/Bruno4_1";"Text";"";"That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat.";"That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat."
"Story/Temperance/Voiceline/Bruno4_2";"Text";"";"Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot.";"Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot."
"Story/Temperance/Voiceline/Bruno4_3";"Text";"";"Both of them stare whenever I talk to HENRY…?";"Both of them stare whenever I talk to HENRY…?"
"Story/Temperance/Voiceline/Bruno4_4";"Text";"";"HENRY doesn’t like the way they look at us. I think I need to do something.";"HENRY doesn’t like the way they look at us. I think I need to do something."
"Story/Temperance/Voiceline/Bruno5_1";"Text";"";"The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.";"The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk."
"Story/Temperance/Voiceline/Bruno5_2";"Text";"";"HENRY is staying behind. It’s bittersweet.";"HENRY is staying behind. It’s bittersweet."
"Story/Temperance/Voiceline/Bruno5_3";"Text";"";"He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. ";"He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. "
"Story/Temperance/Voiceline/Bruno5_4";"Text";"";"Detto says there’s a place with lots of people. Ruben says Astrid might be there.";"Detto says there’s a place with lots of people. Ruben says Astrid might be there."
"Story/Temperance/Voiceline/Bruno5_5";"Text";"";"She definitely isn’t here, in this cold place. It’s nice talking to people.";"She definitely isn’t here, in this cold place. It’s nice talking to people."
"Story/Temperance/Voiceline/Sparrow1_1";"Text";"";"I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.";"I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always."
"Story/Temperance/Voiceline/Sparrow1_2";"Text";"";"I was sent to Selene alongside two colleagues.";"I was sent to Selene alongside two colleagues."
"Story/Temperance/Voiceline/Sparrow1_3";"Text";"";"One of which I discovered was a mole by the ‘investors’.";"One of which I discovered was a mole by the ‘investors’."
"Story/Temperance/Voiceline/Sparrow1_4";"Text";"";"Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.";"Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with."
"Story/Temperance/Voiceline/Sparrow1_5";"Text";"";"The other colleague… I left behind. I did not trust you, Cuckoo.";"The other colleague… I left behind. I did not trust you, Cuckoo."
"Story/Temperance/Voiceline/Sparrow1_6";"Text";"";"I couldn’t. It was too much of a risk. I hope you will forgive me.";"I couldn’t. It was too much of a risk. I hope you will forgive me."
"Story/Temperance/Voiceline/Sparrow2_1";"Text";"";"The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities.";"The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities."
"Story/Temperance/Voiceline/Sparrow2_2";"Text";"";"No easy task. But it has been done. In theory.";"No easy task. But it has been done. In theory."
