"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Story/CaravanIsland/Voiceline/DettosJournal1_7";"Text";;"They say I'm just another mouth to feed, but I'll show them! ";;"De säger att jag bara är ännu en mun som ska mättas, men jag ska allt visa dem! ";"Moi, les gens d'ici disent que je suis juste une bouche de plus à nourrir, mais je vais faire mes preuves ! ";"Dicono che io invece sono solo un’altra bocca da sfamare, ma gliela farò vedere io! ";"Über mich haben sie gesagt, ich sei nur ein weiteres hungriges Maul, das es zu stopfen gilt, aber ich werde es ihnen schon zeigen. ";"Dicen que soy otra boca más que alimentar, pero les demostraré que sé hacer cosas. ";"O mnie mówią, że jestem tylko kolejną gębą do wykarmienia, ale jeszcze im pokażę! ";"Mas dizem que sou apenas mais uma boca pra alimentar. Mas eles vão ver do que sou capaz! ";"他们说我只是吃闲饭的人，但是我要证明给他们看！ ";"彼らはぼくのことを、ただ飯を食うだけの奴だなんていうけど、今に見ていろ！ ";"사람들은 내가 음식만 축낸다고 했지만, 내 능력도 곧 보여줄 것이다! ";"Про меня говорят «одним ртом больше», но я-то им покажу! "
"Story/CaravanIsland/Voiceline/DettosJournal1_8";"Text";;"See the problem is, the water is rising, right? What if we just take away the water?";;"Problemet är ju att vattnet stiger, eller hur? Tänk om vi helt enkelt tar bort vattnet?";"Il y a un problème avec l'eau qui monte, pas vrai ? Et si je trouvais un moyen de vider l'océan ?";"Il problema è il livello dell’acqua in continua crescita, giusto? E se riuscissimo a togliere l’acqua?";"Das Problem ist, das Wasser steigt, richtig? Was, wenn wir das Wasser irgendwie loswerden könnten?";"El problema es que está subiendo el nivel del agua, ¿no? Pero ¿por qué no bombeamos el agua y ya?";"Problem polega na tym, że poziom wody się podnosi, tak? A gdyby tak pozbyć się wody?";"Só que tem uma coisa. A água tá subindo, né? Mas e se fosse possível escoar essa água?";"可是问题在于：水面一直在上升。如果我们能把水都抽走会怎么样？";"問題なのは水位が上がっていることなんだろ？もし水を全部どこかへやったらどうなると思う？";"문제는 물이 차오르고 있다는 것이다. 하지만, 물을 빼낼 수 있다면 어떨까?";"Проблема в том, что вода поднимается, так? А что если просто убрать воду?"
"Story/CaravanIsland/Voiceline/DettosJournal2_1";"Text";;"DETTO'S SCIENTIFIC JOURNAL -TOP TOP SECRET-";;"DETTOS VETENSKAPSDAGBOK – JÄTTEJÄTTEHEMLIG";"JOURNAL SCIENTIFIQUE DE DETTO – TOP TOP SECRET";"DIARIO SCIENTIFICO DI DETTO -SUPER TOP SECRET-";"DETTOS FORSCHUNGSTAGEBUCH – SUPERMEGAGEHEIM –";"DIARIO CIENTÍFICO DE DETTO (ALTÍSIMO SECRETO)";"DZIENNIK NAUKOWY DETTA -ŚCIŚLE, ŚCIŚLE TAJNE-";"RELATÓRIO CIENTÍFICO DE DETTO -SUPER ULTRA SECRETO-";"德托的科学日记 -最高机密-";"デットの科学日誌 -超重要機密-";"데토의 과학 일지 -최고 기밀-";"НАУЧНЫЙ ЖУРНАЛ ДЕТТО -СВЕРХСЕКРЕТНО-"
"Story/CaravanIsland/Voiceline/DettosJournal2_2";"Text";;"Sanjay says the water pump idea doesn't work, because there isn't enough space in the well for all the water.";;"Sanjay säger att idén med vattenpumpen inte funkar eftersom allt vatten inte får plats i brunnen.";"Sanjay dit que mon idée de pompe à eau ne peut pas marcher, parce qu'il n'y a pas assez de place dans le puits pour y transvaser tout l'océan.";"Sanjay dice che l’idea di pompare l’acqua non funziona perché il pozzo non è abbastanza capiente.";"Sanjay sagt, die Idee mit der Wasserpumpe funktioniert nicht, weil im Brunnen nicht genug Platz für das ganze Wasser ist.";"Sanjay dice que la idea de la bomba de agua no funciona porque no hay suficiente espacio en el pozo para tanta agua.";"Sanjay mówi, że pomysł z pompą wodną się nie sprawdził, bo w studni jest za mało miejsca na całą tę wodę.";"Sanjay diz que a ideia da bomba d’água não funciona, porque não há espaço suficiente no poço pra tanta água.";"桑杰说，水泵的主意不行，因为井里没有足够的空间能放下所有的水。";"サンジェイがいうには、水を全部溜めるには井戸じゃスペースが足りないから、ウォーターポンプ作戦はうまくいかないそうだ。";"산자이는 물 펌프 아이디어가 소용없을 거라고 말했다. 우물 안에 물을 담을 공간이 충분하지 않다는 것이다.";"Санджей говорит, что идея с водяным насосом не работает, потому что в колодце не хватит места для воды."
"Story/CaravanIsland/Voiceline/DettosJournal2_3";"Text";;"Also, the neighbors complain about getting salt in their cups. 
";;"Dessutom klagar grannarna på att de får salt i kopparna.";"En plus, les voisins se sont plaints de devoir boire de l'eau salée. 
";"E poi i vicini si sono lamentati del sale che si ritrovano nei bicchieri.
";"Außerdem beschweren sich die Nachbarn darüber, dass sie Salz in ihre Tassen bekommen. 
";"Además, los vecinos se han quejado de que el agua potable se está salinizando.
";"Poza tym sąsiedzi narzekają, że znajdują sól w kubkach. 
";"Além disso, os vizinhos reclamaram que a água deles tá salgada.
";"而且邻居们也在抱怨，他们的饮用水里进了盐。
";"それに、周りの人から飲み水に塩分が混ざるって苦情も出てる。
";"또, 이웃들은 컵에 소금이 묻어 나온다며 불평했다. 
";"А еще соседи начали жаловаться на соль в чашках. 
"
"Story/CaravanIsland/Voiceline/DettosJournal2_4";"Text";;"They complain because they have no patience for science!";;"De har för dåligt tålamod för vetenskap!";"Ils ne comprennent rien à la science !";"Si lamentano perché non hanno la minima pazienza in nome della scienza.";"Sie beschweren sich, weil sie keine Geduld für die Wissenschaft haben!";"¡Se quejan porque no tienen paciencia con la ciencia!";"Narzekają, bo nie mają cierpliwości do nauki!";"Eles reclamam por que não têm paciência pra ciência!";"他们会抱怨，是因为他们对科学毫无耐心！";"科学には忍耐が必要だってのに、みんなそれをわかってないから文句を言うんだ！";"과학적 성취를 기다릴 인내심이 없기 때문에 불평하는 것이다!";"Ноют, потому что слишком нетерпеливые и не понимают мой научный подход!"
"Story/CaravanIsland/Voiceline/DettosJournal2_5";"Text";;"I asked Pa why we can’t fly to another planet without all this water.";;"Jag frågade pappa varför vi inte kan flyga till en annan planet utan allt vatten.";"J'ai demandé à papa pourquoi on ne peut pas plutôt aller vivre sur une autre planète sans toute cette eau, mais il a juste ri.";"Ho chiesto a Pa’ perché non potessimo semplicemente andare su un altro pianeta senza tutta quest’acqua,";"Ich fragte Vater, warum wir ohne all dieses Wasser nicht zu einem anderen Planeten fliegen können.";"Le he preguntado a Pá que por qué no nos vamos a otro planeta que tenga menos agua,";"Zapytałem tatę, czy nie moglibyśmy polecieć na inną planetę bez tej całej wody.";"Perguntei ao Papai por que não podemos voar pra outro planeta sem tanta água.";"我问爸爸，为什么我们不能飞到一个没有这些海水的星球呢？";"どうしてこんな水ばかりの星から出て、他の星に飛んでいけないの？ってトーチャンに聞いたんだ。";"나는 아빠한테 왜 우리가 물이 없는 다른 행성으로 날아갈 수 없는지 물었다.";"Я спросил у папы, почему нельзя улететь на другую планету, где нет воды."
"Story/CaravanIsland/Voiceline/DettosJournal2_6";"Text";;"Pa just laughed. But Sanjay showed me some pictures that gave me a great idea though… Good man, Sanjay.";;"Han bara skrattade. Men Sanjay visade mig några bilder som gav mig en bra idé… Bra kille, den där Sanjay.";"Heureusement, Sanjay m'a montré des images qui m'ont donné une super idée... Je l'aime bien, Sanjay.";"ma lui si è messo a ridere. Non ha abbastanza immaginazione. Per fortuna Sanjay mi ha fatto vedere un disegno che mi ha fatto venire una grande idea... È proprio bravo, Sanjay.";"Vater lachte nur. Aber Sanjay hat mir ein paar Bilder gezeigt, die mich auf eine tolle Idee gebracht haben … Guter Mann, Sanjay.";"pero Pá se ha reído de mí. Por suerte, Sanjay me enseñó un par de imágenes de un libro que me dio una idea muy buena... Es buen tipo este Sanjay.";"Ale tylko się roześmiał. Za to Sanjay pokazał mi parę obrazków, które podsunęły mi świetny pomysł… Dobry chłopak, ten Sanjay.";"Ele só riu. Mas o Sanjay me mostrou algumas fotos que me deram uma grande ideia… O Sanjay é legal.";"可是爸爸只是笑。不过桑杰给我看了一些图片，让我有了一个好主意……干得漂亮，桑杰。";"トーチャンは笑ってるだけだった。でも、サンジェイが見せてくれた写真を見て、ぼくにはすごいアイデアが浮かんだんだ…。さすがだよサンジェイ。";"아빠는 그저 웃기만 했다. 근데 산자이는 오래된 책에서 발견한 그림을 보여주었고, 나한테 기발한 아이디어가 떠올랐다... 산자이는 좋은 사람이다.";"Папа только посмеялся. Но Санджей показал мне снимки, которые подали мне гениальную идею… Санджей хороший."
"Story/CaravanIsland/Voiceline/DettosJournal3_1";"Text";;"DETTO'S EXPERIMENT JOURNAL -ATTEMPT #733-";;"DETTOS VETENSKAPSDAGBOK – FÖRSÖK 733";"JOURNAL D'EXPÉRIENCES DE DETTO - TENTATIVE #733";"DIARIO DEGLI ESPERIMENTI DI DETTO - TENTATIVO nº 733";"DETTOS EXPERIMENTENTAGEBUCH -VERSUCH #733-";"DIARIO DE EXPERIMENTOS DE DETTO, INTENTO N.º 733";"DZIENNIK EKSPERYMENTÓW DETTA -PRÓBA NR 733-";"DIÁRIO DE EXPERIÊNCIA DE DETTO -TENTATIVA N.º 733-";"德托的实验日记 -第733次尝试-";"デットの実験日誌 -第733回実験-";"데토의 실험 일지 -733번째 실험-";"ЖУРНАЛ ЭКСПЕРИМЕНТОВ ДЕТТО -ПОПЫТКА №733-"
"Story/CaravanIsland/Voiceline/DettosJournal3_2";"Text";;"Pa helped me weld the rocket together, and Sanjay borrowed some fireworks to get it started.";;"Pappa hjälpte mig svetsa ihop raketen och Sanjay lånade lite fyrverkerier för att få fart på den.";"Papa m'a aidé à faire les soudures de ma fusée et Sanjay a emprunté des feux d'artifice pour le décollage.";"Pa’ mi ha aiutato a saldare i pezzi del razzo mentre Sanjay ha rimediato dei fuochi d’artificio per dargli la spinta.";"Vater half mir, die Rakete zusammenzuschweißen, und Sanjay lieh sich Feuerwerkskörper aus, um sie in Gang zu bringen.";"Pá me ha ayudado a soldar el cohete, y le he prestado a Sanjay unos fuegos artificiales para ponerlo en marcha.";"Tata pomógł mi zespawać rakietę, a Sanjay pożyczył trochę fajerwerków, żeby ją odpalić.";"Papai me ajudou a soldar o foguete, e Sanjay arranjou alguns fogos de artifício pra gente começar.";"爸帮我把火箭焊在一起，桑杰借了一些烟花来启动它。";"トーチャンがロケットの溶接を一緒に手伝ってくれた。それからこのロケットを始動するための花火をサンジェイがを借りてきた。";"아빠는 내가 로켓 용접하는 걸 함께 도와주셨고, 산자이는 약간의 폭죽을 빌려주었다.";"Папа помог мне со сваркой для ракеты, а Санджей принес фейерверки, чтобы ее запустить."
"Story/CaravanIsland/Voiceline/DettosJournal3_3";"Text";;"Pa had to apologize to everyone for the explosion. I don’t get it, it was just a test.";;"Pappa fick be alla om ursäkt för explosionen. Jag fattar inte, det var ju bara ett test.";"Après, papa a dû s'excuser auprès de tout le monde pour l'explosion. Je ne vois pas pourquoi. C'était juste un test.";"Pa’ ha dovuto chiedere scusa a tutti per l’esplosione. Non capisco perché tutta quest’esagerazione,";"Vater musste sich bei allen für die Explosion entschuldigen. Ich verstehe es nicht, es war nur ein Test.";"Pá tuvo que disculparse ante todos por la explosión, no entiendo por qué, si solo fue un ensayo.";"Tata musiał przepraszać wszystkich za wybuch. Nie rozumiem tego, to był tylko test.";"Papai teve que se desculpar com todos pela explosão. Não entendi, foi só um teste.";"爸爸被迫为爆炸向大家道歉。我不明白，这只是一次试验而已。";"トーチャンは爆発が起こったことについてみんなに謝らなきゃいけなかった。意味が分からないよ。ただの実験だったのに。";"아빠는 폭발 사건에 대해 모두에게 사과했다. 이해가 안 된다. 그냥 시험해 본 것뿐인데.";"Папе пришлось извиняться перед всеми за взрыв. Не понимаю – это же просто пробный запуск."
"Story/CaravanIsland/Voiceline/DettosJournal3_4";"Text";;"What an overreaction! They would have taken my tools if Sanjay hadn’t helped me put out the fire.";;"Vilken överreaktion! De hade tagit mina verktyg om inte Sanjay hjälpt dem släcka branden.";"Pas la peine d'en faire une montagne ! Les gens voulaient confisquer mes outils, mais Sanjay m'a aidé à négocier.";"era solo un test! Mi avrebbero portato via gli strumenti se Sanjay non mi avesse aiutato a spegnere il fuoco.";"Was für eine Überreaktion! Sie hätten meine Werkzeuge genommen, wenn Sanjay mir nicht geholfen hätte, das Feuer zu löschen.";"¡Qué exagerados! Me habrían quitado mis herramientas si Sanjay no me hubiese ayudado a apagar el fuego.";"Co za histeria! Zabraliby mi narzędzia, gdyby Sanjay nie pomógł mi ugasić pożaru.";"Que reação exagerada! Eles teriam levado minhas ferramentas se Sanjay não tivesse me ajudado a apagar o fogo.";"他们的反应是不是太夸张了！要不是桑杰帮我扑灭火，他们就要夺走我的工具了。";"みんなおおげさすぎる！サンジェイが消火を手伝ってくれていなかったら、ぼくの道具は周りの人たちに取り上げられていたかもしれない。";"과민반응하기는! 산자이가 날 도와주지 않았더라면, 내 도구들을 뺏길 뻔했다.";"Было бы из-за чего волноваться! Если бы Санджей не помог мне потушить пожар, у меня бы забрали все инструменты."
"Story/CaravanIsland/Voiceline/DettosJournal3_5";"Text";;"Good helper, Sanjay.";;"Bra hjälpreda, den där Sanjay.";"Je l'aime bien, Sanjay.";"È proprio d’aiuto, Sanjay.";"Guter Helfer, Sanjay.";"Pero qué majo que es este Sanjay.";"Dobry pomocnik z tego Sanjaya.";"Bom trabalho, Sanjay.";"真是好助手，桑杰。";"サンジェイはできる助手だよ。";"산자이, 최고야!";"Молодец, Санджей. Помощник."
"Story/CaravanIsland/Voiceline/DettosJournal4_1";"Text";;"DETTO'S SCIENTIFIC JOURNAL -UNDERWATER CACHES-";;"DETTOS VETENSKAPSDAGBOK – UNDERVATTENSGÖMMOR";"JOURNAL SCIENTIFIQUE DE DETTO - TRÉSORS SOUS-MARINS";"DIARIO SCIENTIFICO DI DETTO -RISORSE SOMMERSE-";"DETTOS FORSCHUNGSTAGEBUCH -UNTERWASSER-HEFTE-";"DIARIO CIENTÍFICO DE DETTO (CLASIFICADO)";"DZIENNIK NAUKOWY DETTA -PODWODNE SKRYTKI-";"RELATÓRIO CIENTÍFICO DE DETTO -DEPÓSITOS SUBAQUÁTICOS-";"德托的科学日记 -水下宝藏-";"デットの科学日誌 -水中の埋蔵品-";"데토의 과학 일지 -수중 잔해-";"НАУЧНЫЙ ЖУРНАЛ ДЕТТО -ПОДВОДНЫЕ СОКРОВИЩА-"
"Story/CaravanIsland/Voiceline/DettosJournal4_2";"Text";;"Sanjay ran off crying as soon as they dragged me out. Very unprofessional.";;"Sanjay drog med svansen mellan benen så fort de fick upp mig. Så proffsigt.";"Sanjay a détalé en pleurant juste après m'avoir sorti de l'eau. Pas très professionnel.";"Sanjay è corso via in lacrime non appena mi hanno tirato fuori. Davvero poco professionale.";"Sanjay rannte weinend davon, sobald sie mich herausgezerrt hatten. Sehr unprofessionell.";"Sanjay se largó llorando en cuanto me sacaron del agua, ¡qué poco profesional!";"Sanjay uciekł z płaczem, jak tylko mnie wyciągnęli. Bardzo nieprofesjonalne.";"Sanjay saiu correndo e chorando assim que me arrastaram pra fora. Muito pouco profissional.";"他们一把我拖出来，桑杰就哭着跑了。非常不专业。";"サンジェイはぼくを引っ張りあげるとすぐに泣きながら走っていった。まったく、プロらしくないふるまいだ";"산자이는 내가 끌려 나오는 걸 보자마자 울면서 도망쳤다. 정말 아마추어다.";"Санджей убежал в слезах, когда меня вытащили. Никакого профессионализма."
"Story/CaravanIsland/Voiceline/DettosJournal4_3";"Text";;"There’s lots of debri underwater. I couldn’t get anything out though. Sad.";;"Det finns en massa saker under ytan. Men jag fick inte med mig något upp. Synd.";"Il y a beaucoup de débris sous l'eau. Je n'ai pas pu en ramener avec moi. Dommage.";"Ci sono un sacco di macerie sott’acqua, ma non sono riuscito a tirare fuori niente. Peccato.";"Es gibt viele Trümmer unter Wasser. Ich konnte jedoch nichts herausbekommen. Traurig.";"Hay un montón de escombros bajo el agua, aunque no pude sacar nada a la superficie, qué mal.";"Pod wodą jest mnóstwo śmieci. Nie mogłem jednak nic wyciągnąć. Smutne.";"Há muitos detritos debaixo d'água, mas não consegui pegar nada. Que pena.";"水下有很多碎片。不过我什么也没能带回来。真伤心。";"水中にはたくさんのがれきがあった。でも何にも手に入らなかった。かなしい。";"물밑에는 수많은 잔해가 있다. 아쉽게도 가져온 건 아무것도 없었다.";"В воде много мусора, но я ничего не смог достать. Жалко."
"Story/CaravanIsland/Voiceline/DettosJournal4_4";"Text";;"Pa forbade me from doing any more experiments. I think he’s just angry because Ma got sick.
";;"Pappa låter mig inte göra fler experiment. Han är nog bara arg för att mamma blev sjuk.";"Papa m'a interdit de continuer mes expériences. Je crois qu'il est juste fâché que maman soit tombée malade.
";"Pa’ mi ha vietato di condurre ulteriori esperimenti. Credo sia solo arrabbiato perché ma’ si è ammalata.
";"Vater verbot mir, weitere Experimente durchzuführen. Ich glaube, er ist nur wütend, weil Mutter krank wurde.
";"Pá me ha prohibido hacer más experimentos. Creo que está molesto porque Má se puso mala.
";"Tata zakazał mi prowadzenia dalszych eksperymentów. Chyba jest po prostu zły, bo mama się rozchorowała.
";"O Papai me proibiu de fazer mais experimentos. Acho que ele só tá bravo porque a Mamãe ficou doente.
";"爸爸禁止我再做实验。我想他只是因为妈妈生病了而发火。
";"トーチャンからこれ以上実験するなって止められた。カーチャンの具合がよくないからトーチャンは気が立ってるんだ。";"아빠는 내가 실험하는 걸 금지했다. 엄마의 건강이 악화된 이후로 화가 난 것 같다.
";"Папа запретил мне проводить эксперименты. Думаю, на самом деле он злится из-за того, что мама заболела.
"
"Story/CaravanIsland/Voiceline/DettosJournal4_5";"Text";;"Doctor Henry said she will be okay, so it’s okay.";;"Enligt dr Henry kommer hon att repa sig, så det är lugnt.";"Le docteur Henrik dit que ce n'est pas trop grave, alors ça va.";"Il dottor Henrik ha detto che si rimetterà, quindi non sono preoccupato.";"Doktor Henry sagte, sie wird wieder gesund, also ist es okay.";"El doctor Henry dice que se va a poner buena, así que no hay por qué preocuparse.";"Doktor Henrik mówił, że wydobrzeje, więc jest dobrze.";"O doutor Henrik disse que ela vai ficar bem, então tá tudo bem.";"亨利医生说她会好起来的，所以不用担心。";"医者のヘンリー先生が、カーチャンは大丈夫だっていってたんだ。だから大丈夫だよ。";"헨리크 선생님이 엄마가 괜찮아질 거라고 했으니 괜찮아지겠지.";"Доктор Хенрик говорит, ничего страшного. Значит, все в порядке."
"Story/CaravanIsland/Voiceline/DettosJournal5_1";"Text";;"DETTO'S SCIENTIFIC JOURNAL -MONSTER INVESTIGATION-";;"DETTOS VETENSKAPSDAGBOK – MONSTERUTREDNING";"JOURNAL SCIENTIFIQUE DE DETTO - ENQUÊTE SUR DES MONSTRES";"DIARIO SCIENTIFICO DI DETTO -INVESTIGAZIONE MOSTRUOSA-";"DETTOS FORSCHUNGSTAGEBUCH -MONSTER-UNTERSUCHUNG-";"DIARIO CIENTÍFICO DE DETTO, INVESTIGACIÓN SOBRE LOS MONSTRUOS";"DZIENNIK NAUKOWY DETTA -NA TROPIE POTWORÓW-";"RELATÓRIO CIENTÍFICO DE DETTO -INVESTIGAÇÃO DE MONSTROS-";"德托的科学日记 -怪物调查-";"デットの科学日誌 -怪物調査-";"데토의 과학 일지 -괴물 조사-";"НАУЧНЫЙ ЖУРНАЛ ДЕТТО -ДЕЛО О ЧУДОВИЩЕ-"
"Story/CaravanIsland/Voiceline/DettosJournal5_2";"Text";;"There’s a stranger in town called Olof something. Pa keeps going to his meetings, no kids allowed.";;"Det är en främling på besök i stan. Olof nånting. Pappa går på hans möten, men barn är inte tillåtna.";"Il y a un nouveau en ville, un certain Olof Machin-Truc. Papa va à toutes ses réunions, mais les enfants ne sont pas invités.";"C’è uno sconosciuto in città che si fa chiamare “Olof qualcosa”. Pa’ lo incontra di continuo, ma i bambini non sono ammessi a queste riunioni.";"Es gibt einen Fremden in der Stadt namens Olof so-und-so. Vater geht weiter zu seinen Treffen, Kinder sind nicht erlaubt.";"Ha llegado un tipo desconocido al pueblo, un tal Olof nosequé. Pá no deja de ir a sus reuniones, donde no dejan entrar a los niños.";"W mieście pojawił się obcy, Olof jakiś tam. Tata cały czas chodzi na spotkania, dzieciom wstęp wzbroniony.";"Há um estranho na cidade chamado Olof alguma coisa. O Papai continua indo às reuniões dele, mas crianças não são permitidas.";"镇上有一个叫奥诺夫的陌生人。爸爸总是去参加他的集会，那里不允许小孩进入。";"よそから来た人…オロフとか何とかいうやつがいる。トーチャンはそいつと会合ばかりしてる。子供は行ったらだめらしい。";"마을에 올로프라는 낯선 이가 등장했다. 아빠는 올로프의 회의에 계속해서 참석했지만, 아이들은 참가할 수 없다.";"В городе появился чужой – какой-то Улоф. Папа ходит на его собрания, детей туда не пускают."
"Story/CaravanIsland/Voiceline/DettosJournal5_3";"Text";;"But at night I got Sanjay to help me sneak onto the stranger’s ship.";;"En natt övertalade jag Sanjay att hjälpa mig smyga ombord på främlingens skepp.";"J'ai convaincu Sanjay de m'aider à infiltrer son bateau pendant la nuit.";"Però di notte Sanjay mi aiuta a intrufolarmi a bordo della sua nave.";"Aber nachts brachte ich Sanjay dazu, mir zu helfen, mich auf das Schiff des Fremden zu schleichen.";"Pero, por la noche, Sanjay me ayudó a colarme en el barco de ese tal Olof.";"Ale w nocy namówiłem Sanjaya, żeby pomógł mi zakraść się na statek obcego.";"Mas à noite eu consegui que Sanjay me ajudasse a entrar no navio do estranho.";"但晚上桑杰帮我偷偷登上了那个陌生人的船。";"でも夜に、サンジャイに手伝ってもらって、ぼくはそいつの船に忍び込むことができた。";"어느 밤중에 나는 산자이의 도움을 받아 그 배에 잠입할 수 있었다.";"Зато ночью Санджей помог мне пробраться на корабль чужака."
"Story/CaravanIsland/Voiceline/DettosJournal5_4";"Text";;"I thought maybe he had some medicine for Ma…";;"Jag tänkte att han kanske hade medicin till mamma…";"Je pensais qu'il aurait peut-être des médicaments pour maman...";"Credevo di trovare qualche medicina per ma’...";"Ich dachte, er hätte vielleicht Medizin für Mutter …";"Pensé que quizás tendría medicina para Má...";"Myślałem, że może ma jakieś lekarstwo dla mamy…";"Eu pensei que talvez ele tivesse algum remédio pra Mamãe…";"我想也许他有药可以给妈妈治病……";"カーチャンの病気に効く薬でもあるんじゃないかと思っていたんだけど…";"엄마한테 필요한 약이 있을지도 모른다고 생각했다...";"Я подумал, там может быть лекарство для мамы…"
"Story/CaravanIsland/Voiceline/DettosJournal5_5";"Text";;"But Olof’s boat was just filled with cages. In the cages were big rats, and a… very large hyena. ";;"Men Olofs båt var full av burar. I burarna fanns stora råttor och en… väldigt stor hyena. ";"Son bateau est plein de cages. Dans les cages, il y a de gros rats et une hyène énorme. ";"Invece c’erano solo gabbie con dentro dei topi di dimensioni spropositate e... un’enorme iena. ";"Aber Olofs Boot war nur voller Käfige. In den Käfigen waren große Ratten und eine … sehr große Hyäne. ";"Pero el barco estaba hasta arriba de jaulas, y en ellas había unas ratas enormes y una hiena aún más grande, ";"Ale na statku były tylko klatki, w których siedziały wielkie szczury i… ogromna hiena. ";"Mas o barco do Olof estava cheio de jaulas com ratos grandes e uma… hiena muito grande. ";"但奥诺夫的船里只有笼子。笼子里有大老鼠，还有一只……很大的鬣狗。 ";"オロフのボートの中は檻だらけだった。檻の中には大きいネズミと…すっごく大きいハイエナがいた。 ";"하지만 올로프의 배는 우리로 가득했고, 거기엔 거대한 쥐들과... 엄청나게 큰 하이에나가 있었다. ";"Но у Улофа на борту одни клетки. В клетках – большие крысы и… огромная гиена. "
"Story/CaravanIsland/Voiceline/DettosJournal5_6";"Text";;"They were so angry! Sanjay found notes talking about feeding and training them into his personal ‘army’.";;"De var så arga! Sanjay hittade anteckningar om hur de matas och tränas till hans personliga ”armé”.";"Ils étaient vraiment énervés ! Sanjay a trouvé des notes sur comment les nourrir et les entraîner à devenir une « armée ».";"Erano così rabbiosi! Sanjay ha trovato delle note in cui si menziona di volerli usare per un “esercito” personale.";"Sie waren so wütend! Sanjay fand Notizen, in denen es darum ging, sie zu füttern und zu seiner persönlicher „Armee“ auszubilden.";"¡y tenían malas pulgas! Sanjay se encontró con algunas notas que hablaban sobre cómo darles de comer para entrenarlas y crear un «ejército personal».";"Były takie wściekłe! Sanjay znalazł notatki Olofa o karmieniu i tresowaniu ich na swoją osobistą „armię”.";"Eles estavam tão bravos! Sanjay encontrou gravações falando sobre dar comida e treinamento para serem seu ""exército pessoal"".";"它们非常狂暴！桑杰找到了一些笔记，上面提到了喂养和训练它们，把它们打造成他的私人“军队”。";"それに動物たちはとても怒っていた！サンジェイがノートを見つけた。そこにはオロフが動物を「軍隊」にするための餌やりと訓練についてが書かれていた。";"엄청 사나웠다! 산자이는 동물들을 훈련시켜 자신의 '군대'로 발전시킨다는 노트를 발견했다.";"Они такие злющие! Санджей нашел записки, где говорится о кормежке и дрессировке этой «личной армии»."
"Story/CaravanIsland/Voiceline/DettosJournal5_7";"Text";;"Sanjay thinks Olof might be a bad guy. I think I agree.";;"Sanjay tror att Olof är ond. Jag håller nog med.";"Sanjay pense qu'Olof n'est pas quelqu'un de bien. Je crois que je suis d'accord.";"E crede che Olof sia un tipo losco. Credo di essere d’accordo con lui.";"Sanjay denkt, Olof könnte ein Bösewicht sein. Das glaube ich auch.";"Sanjay piensa que no es de fiar. Creo que no le falta razón.";"Sanjay uważa, że z tego Olofa może być zły człowiek. Chyba ma rację.";"Sanjay acha que Olof pode ser um cara mau. E eu concordo.";"桑杰认为奥诺夫可能是个坏人。我也有同感。";"オロフはきっと悪い奴なんじゃないかってサンジェイは考えていた。もちろんぼくも同じ考えだ。";"산자이는 올로프가 나쁜 사람일 수도 있다고 생각한다. 나도 같은 생각이다.";"Санджей считает, что Улоф – злодей. Я, наверное, согласен."
"Story/CaravanIsland/Voiceline/DettosJournal6_1";"Text";;"DETTO'S ADVENTURE JOURNAL";;"DETTOS ÄVENTYRSDAGBOK";"JOURNAL D'AVENTURIER DE DETTO";"DIARIO DELLE AVVENTURE DI DETTO";"DETTOS ABENTEUERTAGEBUCH";"DIARIO DE AVENTURAS DE DETTO";"DZIENNIK PRZYGÓD DETTA";"DIÁRIO DE AVENTURA DE DETTO";"德托的冒险日记";"デットの冒険日誌";"데토의 모험 일지";"ЖУРНАЛ ПРИКЛЮЧЕНИЙ ДЕТТО"
